0,995,1011
1,995,1011
2,995,1011
3,995,1011
4,995,1011
5,995,1011
6,995,1011
7,995,1011
8,1000,1008
9,997,1008
10,995,1007
11,994,1007
12,992,1009
13,993,1010
14,992,1010
15,989,1011
16,988,1013
17,987,1014
18,990,1014
19,993,1016
20,989,1016
21,988,1013
22,986,1009
23,988,1008
24,993,1007
25,997,1010
26,993,1008
27,986,1008
28,983,1006
29,977,1005
30,979,1006
31,975,1005
32,974,1002
33,972,1000
34,969,995
35,969,997
36,969,1003
37,971,1005
38,973,1003
39,971,1000
40,969,997
41,966,999
42,966,999
43,966,1001
44,966,1001
45,967,999
46,965,996
47,963,996
48,967,998
49,969,999
50,969,996
51,968,995
52,967,994
53,963,994
54,966,998
55,964,1001
56,968,999
57,966,997
58,964,992
59,961,985
60,960,984
61,957,983
62,952,979
63,947,973
64,947,964
65,943,966
66,933,977
67,927,998
68,927,1017
69,939,1034
70,958,1048
71,980,1064
72,1010,1086
73,1048,1111
74,1099,1131
75,1148,1140
76,1180,1119
77,1192,1066
78,1177,1007
79,1128,978
80,1058,974
81,991,981
82,951,988
83,937,987
84,939,992
85,950,994
86,958,994
87,959,988
88,957,988
89,955,992
90,958,991
91,959,990
92,961,991
93,962,987
94,960,987
95,957,987
96,956,990
97,959,992
98,955,993
99,957,989
